Holiday Name,US,AZ,CA,FL,GA,IL,MI,NY,NC,OH,PA,TX
New Year's Day,01/01,01/01,01/01,01/01,01/01,01/01,01/01,01/01,01/01,01/01,01/01,01/01
MLK Jr. Day,01/20,01/20,01/20,01/20,01/20,01/20,01/20,01/20,01/20,01/20,01/20,01/20
Lincoln's Birthday,-,-,-,-,-,02/12,-,02/12,-,-,-,-
Presidents' Day,02/17,02/17,02/17,-,02/17,02/17,02/17,02/17,-,02/17,02/17,02/17
Cesar Chavez Day,-,-,03/31,-,-,-,-,-,-,-,-,-
Good Friday,-,-,-,-,04/18,-,-,-,04/18,-,-,-
San Jacinto Day,-,-,-,-,-,-,-,-,-,-,-,04/21
Memorial Day,05/26,05/26,05/26,05/26,05/26,05/26,05/26,05/26,05/26,05/26,05/26,05/26
Juneteenth,06/19,-,-,-,06/19,06/19,06/19,06/19,-,06/19,06/19,06/19
Independence Day,07/04,07/04,07/04,07/04,07/04,07/04,07/04,07/04,07/04,07/04,07/04,07/04
Lyndon Baines Johnson Day,-,-,-,-,-,-,-,-,-,-,-,08/27
Labor Day,09/01,09/01,09/01,09/01,09/01,09/01,09/01,09/01,09/01,09/01,09/01,09/01
Columbus Day,10/13,10/13,-,-,10/13,10/13,-,10/13,-,10/13,10/13,-
Election Day,-,-,-,-,-,-,-,11/04,-,-,-,-
Veterans Day,11/11,11/11,11/11,11/11,11/11,11/11,11/11,11/11,11/11,11/11,11/11,11/11
Thanksgiving Day,11/27,11/27,11/27,11/27,11/27,11/27,11/27,11/27,11/27,11/27,11/27,11/27
Day After Thanksgiving,-,-,11/28,11/28,11/28,11/28,11/28,-,11/28,-,11/28,11/28
Christmas Eve,-,-,-,-,-,-,12/24,-,12/24,-,-,12/24
Christmas Day,12/25,12/25,12/25,12/25,12/25,12/25,12/25,12/25,12/25,12/25,12/25,12/25
Day after Christmas,-,-,-,-,-,-,-,-,12/26,-,-,12/26
New Year's Eve,-,-,-,-,-,-,12/31,-,-,-,-,-
Inauguration Day,01/20,-,-,-,-,-,-,-,-,-,-,-
